"","ID","bacterial_genus","replicate","minute","trait_name","trait_value"
"115","Sch_AE103_02","Flavobacterium",3,1231,"ATP (nmol/cell)",0.330093206127345
"116","Sch_AE103_02","Flavobacterium",3,1479,"ATP (nmol/cell)",1.14821893725764
"117","Sch_AE103_02","Flavobacterium",3,1794,"ATP (nmol/cell)",0.96255980346306
"118","Sch_AE103_02","Flavobacterium",3,2092,"ATP (nmol/cell)",0.381425481618323
"119","Sch_AE103_02","Flavobacterium",3,2421,"ATP (nmol/cell)",0.504213913969644
"120","Sch_AE103_02","Flavobacterium",3,2694,"ATP (nmol/cell)",0.280019663081994
"121","Sch_AE103_02","Flavobacterium",3,3012,"ATP (nmol/cell)",0.247774864946066
"122","Sch_AE103_02","Flavobacterium",4,22,"ATP (nmol/cell)",0.629278936169532
"123","Sch_AE103_02","Flavobacterium",4,304,"ATP (nmol/cell)",1.2638888676631
"124","Sch_AE103_02","Flavobacterium",4,594,"ATP (nmol/cell)",0.266260971747974
"125","Sch_AE103_02","Flavobacterium",4,894,"ATP (nmol/cell)",0.343130588076338
"126","Sch_AE103_02","Flavobacterium",4,1231,"ATP (nmol/cell)",0.3482320307436
"127","Sch_AE103_02","Flavobacterium",4,1479,"ATP (nmol/cell)",0.777608271725205
"128","Sch_AE103_02","Flavobacterium",4,1794,"ATP (nmol/cell)",1.2605657866985
"129","Sch_AE103_02","Flavobacterium",4,2092,"ATP (nmol/cell)",0.700187278620429
"130","Sch_AE103_02","Flavobacterium",4,2421,"ATP (nmol/cell)",0.416300782758765
"131","Sch_AE103_02","Flavobacterium",4,2694,"ATP (nmol/cell)",0.368102441449129
"132","Sch_AE103_02","Flavobacterium",4,3012,"ATP (nmol/cell)",0.396258271432922
"133","Sch_BB22_01","Pseudomonas(1)",1,22,"Log (cells/mL)",5.90308998699194
"135","Sch_BB22_01","Pseudomonas(1)",1,594,"Log (cells/mL)",6.80617997398389
"136","Sch_BB22_01","Pseudomonas(1)",1,894,"Log (cells/mL)",7.79657433321043
"137","Sch_BB22_01","Pseudomonas(1)",1,1231,"Log (cells/mL)",8.32797162362301
"138","Sch_BB22_01","Pseudomonas(1)",1,1479,"Log (cells/mL)",8.35640832703898
"139","Sch_BB22_01","Pseudomonas(1)",1,1794,"Log (cells/mL)",8.94051648493257
"140","Sch_BB22_01","Pseudomonas(1)",1,2092,"Log (cells/mL)",8.69513129770403
"141","Sch_BB22_01","Pseudomonas(1)",1,2421,"Log (cells/mL)",8.70329137811866
"142","Sch_BB22_01","Pseudomonas(1)",1,2694,"Log (cells/mL)",8.73094369342774
"143","Sch_BB22_01","Pseudomonas(1)",1,3012,"Log (cells/mL)",8.67870043499831
"145","Sch_BB22_01","Pseudomonas(1)",2,304,"Log (cells/mL)",5.30102999566398
"146","Sch_BB22_01","Pseudomonas(1)",2,594,"Log (cells/mL)",6.57978359661681
"147","Sch_BB22_01","Pseudomonas(1)",2,894,"Log (cells/mL)",7.70243053644553
"148","Sch_BB22_01","Pseudomonas(1)",2,1231,"Log (cells/mL)",8.40174508223706
"149","Sch_BB22_01","Pseudomonas(1)",2,1479,"Log (cells/mL)",8.34478512263266
"150","Sch_BB22_01","Pseudomonas(1)",2,1794,"Log (cells/mL)",8.84571801796666
"151","Sch_BB22_01","Pseudomonas(1)",2,2092,"Log (cells/mL)",8.76551954309795
"152","Sch_BB22_01","Pseudomonas(1)",2,2421,"Log (cells/mL)",8.80277372529198
"153","Sch_BB22_01","Pseudomonas(1)",2,2694,"Log (cells/mL)",8.59615708091617
"155","Sch_BB22_01","Pseudomonas(1)",3,22,"Log (cells/mL)",5.60205999132796
"156","Sch_BB22_01","Pseudomonas(1)",3,304,"Log (cells/mL)",5.60205999132796
"157","Sch_BB22_01","Pseudomonas(1)",3,594,"Log (cells/mL)",5.77815125038364
"158","Sch_BB22_01","Pseudomonas(1)",3,894,"Log (cells/mL)",6.14612803567824
"159","Sch_BB22_01","Pseudomonas(1)",3,1231,"Log (cells/mL)",6.60205999132796
"160","Sch_BB22_01","Pseudomonas(1)",3,1479,"Log (cells/mL)",6.96378782734556
"161","Sch_BB22_01","Pseudomonas(1)",3,1794,"Log (cells/mL)",6.68124123737559
"162","Sch_BB22_01","Pseudomonas(1)",3,2092,"Log (cells/mL)",7.17026171539496
"163","Sch_BB22_01","Pseudomonas(1)",3,2421,"Log (cells/mL)",7.30535136944662
"164","Sch_BB22_01","Pseudomonas(1)",3,2694,"Log (cells/mL)",7.18184358794477
"166","Sch_BB22_01","Pseudomonas(1)",4,22,"Log (cells/mL)",5.60205999132796
"167","Sch_BB22_01","Pseudomonas(1)",4,304,"Log (cells/mL)",5.60205999132796
"168","Sch_BB22_01","Pseudomonas(1)",4,594,"Log (cells/mL)",7.47421626407626
"169","Sch_BB22_01","Pseudomonas(1)",4,894,"Log (cells/mL)",7.6570558528571
"170","Sch_BB22_01","Pseudomonas(1)",4,1231,"Log (cells/mL)",7.68841982200271
"171","Sch_BB22_01","Pseudomonas(1)",4,1479,"Log (cells/mL)",7.66275783168157
"172","Sch_BB22_01","Pseudomonas(1)",4,1794,"Log (cells/mL)",8.38273726576133
"173","Sch_BB22_01","Pseudomonas(1)",4,2092,"Log (cells/mL)",8.84397984447816
"174","Sch_BB22_01","Pseudomonas(1)",4,2421,"Log (cells/mL)",8.70346334188329
"175","Sch_BB22_01","Pseudomonas(1)",4,2694,"Log (cells/mL)",8.34439227368511
"177","Sch_BB22_01","Pseudomonas(1)",1,52,"Absorbance (600nm)",0.097
"178","Sch_BB22_01","Pseudomonas(1)",1,333,"Absorbance (600nm)",0.095
"179","Sch_BB22_01","Pseudomonas(1)",1,622,"Absorbance (600nm)",0.091
"180","Sch_BB22_01","Pseudomonas(1)",1,921,"Absorbance (600nm)",0.124
"181","Sch_BB22_01","Pseudomonas(1)",1,1258,"Absorbance (600nm)",0.154
"182","Sch_BB22_01","Pseudomonas(1)",1,1507,"Absorbance (600nm)",0.17
"183","Sch_BB22_01","Pseudomonas(1)",1,1827,"Absorbance (600nm)",0.177
"184","Sch_BB22_01","Pseudomonas(1)",1,2120,"Absorbance (600nm)",0.178
"185","Sch_BB22_01","Pseudomonas(1)",1,2449,"Absorbance (600nm)",0.187
"186","Sch_BB22_01","Pseudomonas(1)",1,2722,"Absorbance (600nm)",0.183
"187","Sch_BB22_01","Pseudomonas(1)",1,3034,"Absorbance (600nm)",0.19
"188","Sch_BB22_01","Pseudomonas(1)",2,52,"Absorbance (600nm)",0.104
"189","Sch_BB22_01","Pseudomonas(1)",2,333,"Absorbance (600nm)",0.093
"190","Sch_BB22_01","Pseudomonas(1)",2,622,"Absorbance (600nm)",0.1
"191","Sch_BB22_01","Pseudomonas(1)",2,921,"Absorbance (600nm)",0.138
"192","Sch_BB22_01","Pseudomonas(1)",2,1258,"Absorbance (600nm)",0.149
"193","Sch_BB22_01","Pseudomonas(1)",2,1507,"Absorbance (600nm)",0.161
"194","Sch_BB22_01","Pseudomonas(1)",2,1827,"Absorbance (600nm)",0.166
"195","Sch_BB22_01","Pseudomonas(1)",2,2120,"Absorbance (600nm)",0.173
"196","Sch_BB22_01","Pseudomonas(1)",2,2449,"Absorbance (600nm)",0.184
"197","Sch_BB22_01","Pseudomonas(1)",2,2722,"Absorbance (600nm)",0.182
"198","Sch_BB22_01","Pseudomonas(1)",2,3034,"Absorbance (600nm)",0.18
"199","Sch_BB22_01","Pseudomonas(1)",3,52,"Absorbance (600nm)",0.103
"200","Sch_BB22_01","Pseudomonas(1)",3,333,"Absorbance (600nm)",0.094
"201","Sch_BB22_01","Pseudomonas(1)",3,622,"Absorbance (600nm)",0.1
"202","Sch_BB22_01","Pseudomonas(1)",3,921,"Absorbance (600nm)",0.14
"203","Sch_BB22_01","Pseudomonas(1)",3,1258,"Absorbance (600nm)",0.146
"204","Sch_BB22_01","Pseudomonas(1)",3,1507,"Absorbance (600nm)",0.162
"205","Sch_BB22_01","Pseudomonas(1)",3,1827,"Absorbance (600nm)",0.168
"206","Sch_BB22_01","Pseudomonas(1)",3,2120,"Absorbance (600nm)",0.172
"207","Sch_BB22_01","Pseudomonas(1)",3,2449,"Absorbance (600nm)",0.185
"208","Sch_BB22_01","Pseudomonas(1)",3,2722,"Absorbance (600nm)",0.181
"209","Sch_BB22_01","Pseudomonas(1)",3,3034,"Absorbance (600nm)",0.18
"210","Sch_BB22_01","Pseudomonas(1)",4,52,"Absorbance (600nm)",0.099
"211","Sch_BB22_01","Pseudomonas(1)",4,333,"Absorbance (600nm)",0.096
"212","Sch_BB22_01","Pseudomonas(1)",4,622,"Absorbance (600nm)",0.106
"213","Sch_BB22_01","Pseudomonas(1)",4,921,"Absorbance (600nm)",0.159
"214","Sch_BB22_01","Pseudomonas(1)",4,1258,"Absorbance (600nm)",0.15
"215","Sch_BB22_01","Pseudomonas(1)",4,1507,"Absorbance (600nm)",0.165
"216","Sch_BB22_01","Pseudomonas(1)",4,1827,"Absorbance (600nm)",0.169
"217","Sch_BB22_01","Pseudomonas(1)",4,2120,"Absorbance (600nm)",0.176
"218","Sch_BB22_01","Pseudomonas(1)",4,2449,"Absorbance (600nm)",0.189
"219","Sch_BB22_01","Pseudomonas(1)",4,2722,"Absorbance (600nm)",0.187
"220","Sch_BB22_01","Pseudomonas(1)",4,3034,"Absorbance (600nm)",0.19
"221","Sch_BB22_01","Pseudomonas(1)",1,22,"ATP (nmol/cell)",1.35210504153777
"222","Sch_BB22_01","Pseudomonas(1)",1,304,"ATP (nmol/cell)",0.827827803706477
"223","Sch_BB22_01","Pseudomonas(1)",1,594,"ATP (nmol/cell)",0.316022482868332
"224","Sch_BB22_01","Pseudomonas(1)",1,894,"ATP (nmol/cell)",0.169265405475441
"225","Sch_BB22_01","Pseudomonas(1)",1,1231,"ATP (nmol/cell)",0.228473664889743
"226","Sch_BB22_01","Pseudomonas(1)",1,1479,"ATP (nmol/cell)",0.378502146390528
"227","Sch_BB22_01","Pseudomonas(1)",1,1794,"ATP (nmol/cell)",0.482938117313381
"228","Sch_BB22_01","Pseudomonas(1)",1,2092,"ATP (nmol/cell)",0.367710386003976
"229","Sch_BB22_01","Pseudomonas(1)",1,2421,"ATP (nmol/cell)",0.344435410167554
"230","Sch_BB22_01","Pseudomonas(1)",1,2694,"ATP (nmol/cell)",0.196466956400717
"231","Sch_BB22_01","Pseudomonas(1)",1,3012,"ATP (nmol/cell)",0.279082583487379
"232","Sch_BB22_01","Pseudomonas(1)",2,22,"ATP (nmol/cell)",2.92385063799069
"233","Sch_BB22_01","Pseudomonas(1)",2,304,"ATP (nmol/cell)",1.0753222516462
"234","Sch_BB22_01","Pseudomonas(1)",2,594,"ATP (nmol/cell)",1.50772568605866
"235","Sch_BB22_01","Pseudomonas(1)",2,894,"ATP (nmol/cell)",0.267083997413328
"236","Sch_BB22_01","Pseudomonas(1)",2,1231,"ATP (nmol/cell)",0.252875957458729
"237","Sch_BB22_01","Pseudomonas(1)",2,1479,"ATP (nmol/cell)",1.26103122701453
"238","Sch_BB22_01","Pseudomonas(1)",2,1794,"ATP (nmol/cell)",0.536898350908301
"239","Sch_BB22_01","Pseudomonas(1)",2,2092,"ATP (nmol/cell)",0.177659116812985
"240","Sch_BB22_01","Pseudomonas(1)",2,2421,"ATP (nmol/cell)",0.225279294135152
"241","Sch_BB22_01","Pseudomonas(1)",2,2694,"ATP (nmol/cell)",0.256735143781059
"243","Sch_BB22_01","Pseudomonas(1)",3,22,"ATP (nmol/cell)",3.14639468084766
"244","Sch_BB22_01","Pseudomonas(1)",3,304,"ATP (nmol/cell)",0.827827803706477
"245","Sch_BB22_01","Pseudomonas(1)",3,594,"ATP (nmol/cell)",2.34018729316452
"246","Sch_BB22_01","Pseudomonas(1)",3,894,"ATP (nmol/cell)",0.789315476485423
"247","Sch_BB22_01","Pseudomonas(1)",3,1231,"ATP (nmol/cell)",0.226516199938289
"248","Sch_BB22_01","Pseudomonas(1)",3,1479,"ATP (nmol/cell)",1.13955836245399
"249","Sch_BB22_01","Pseudomonas(1)",3,1794,"ATP (nmol/cell)",0.799439819936626
"250","Sch_BB22_01","Pseudomonas(1)",3,2092,"ATP (nmol/cell)",0.200077206216187
"251","Sch_BB22_01","Pseudomonas(1)",3,2421,"ATP (nmol/cell)",0.268711171622749
"252","Sch_BB22_01","Pseudomonas(1)",3,2694,"ATP (nmol/cell)",0.240423202121774
"253","Sch_BB22_01","Pseudomonas(1)",3,3012,"ATP (nmol/cell)",0.61691169679073
"254","Sch_BB22_01","Pseudomonas(1)",4,22,"ATP (nmol/cell)",2.27426705712679
"255","Sch_BB22_01","Pseudomonas(1)",4,304,"ATP (nmol/cell)",0.242913801386374
"256","Sch_BB22_01","Pseudomonas(1)",4,594,"ATP (nmol/cell)",6.65652429369935
"257","Sch_BB22_01","Pseudomonas(1)",4,894,"ATP (nmol/cell)",0.497587518076622
"258","Sch_BB22_01","Pseudomonas(1)",4,1231,"ATP (nmol/cell)",0.491310249383764
"259","Sch_BB22_01","Pseudomonas(1)",4,1479,"ATP (nmol/cell)",0.782883913937595
"260","Sch_BB22_01","Pseudomonas(1)",4,1794,"ATP (nmol/cell)",0.628486481549205
"261","Sch_BB22_01","Pseudomonas(1)",4,2092,"ATP (nmol/cell)",0.215964003161437
"262","Sch_BB22_01","Pseudomonas(1)",4,2421,"ATP (nmol/cell)",0.541087417017745
"263","Sch_BB22_01","Pseudomonas(1)",4,2694,"ATP (nmol/cell)",0.246851069997848
"264","Sch_BB22_01","Pseudomonas(1)",4,3012,"ATP (nmol/cell)",0.421606633986427
"265","Sch_BB22_02","Rahnella",1,22,"Log (cells/mL)",5.60205999132796
"266","Sch_BB22_02","Rahnella",1,304,"Log (cells/mL)",5.77815125038364
"267","Sch_BB22_02","Rahnella",1,594,"Log (cells/mL)",7.19865708695442
"268","Sch_BB22_02","Rahnella",1,894,"Log (cells/mL)",7.06445798922692
"269","Sch_BB22_02","Rahnella",1,1231,"Log (cells/mL)",7.86451108105839
"270","Sch_BB22_02","Rahnella",1,1479,"Log (cells/mL)",7.95904139232109
"271","Sch_BB22_02","Rahnella",1,1794,"Log (cells/mL)",8.38237730346811
"272","Sch_BB22_02","Rahnella",1,2092,"Log (cells/mL)",8.95182303531591
"273","Sch_BB22_02","Rahnella",1,2421,"Log (cells/mL)",9.04430451917592
"274","Sch_BB22_02","Rahnella",1,2694,"Log (cells/mL)",8.24154648059655
"275","Sch_BB22_02","Rahnella",1,3012,"Log (cells/mL)",5.30102999566398
"276","Sch_BB22_02","Rahnella",2,22,"Log (cells/mL)",5.30102999566398
"277","Sch_BB22_02","Rahnella",2,304,"Log (cells/mL)",5.30102999566398
"278","Sch_BB22_02","Rahnella",2,594,"Log (cells/mL)",7.46538285144842
"279","Sch_BB22_02","Rahnella",2,894,"Log (cells/mL)",7.68663626926229
"280","Sch_BB22_02","Rahnella",2,1231,"Log (cells/mL)",7.97680833733807
"281","Sch_BB22_02","Rahnella",2,1479,"Log (cells/mL)",8.0111473607758
"282","Sch_BB22_02","Rahnella",2,1794,"Log (cells/mL)",8.40071063677323
"283","Sch_BB22_02","Rahnella",2,2092,"Log (cells/mL)",8.6144753660904
"284","Sch_BB22_02","Rahnella",2,2421,"Log (cells/mL)",8.6098077693287
"285","Sch_BB22_02","Rahnella",2,2694,"Log (cells/mL)",8.31470969295517
"287","Sch_BB22_02","Rahnella",3,22,"Log (cells/mL)",5.30102999566398
"290","Sch_BB22_02","Rahnella",3,894,"Log (cells/mL)",6.20411998265593
"292","Sch_BB22_02","Rahnella",3,1479,"Log (cells/mL)",6.9731278535997
"293","Sch_BB22_02","Rahnella",3,1794,"Log (cells/mL)",7.23044892137827
"294","Sch_BB22_02","Rahnella",3,2092,"Log (cells/mL)",7.59988307207369
"295","Sch_BB22_02","Rahnella",3,2421,"Log (cells/mL)",7.3541084391474
"296","Sch_BB22_02","Rahnella",3,2694,"Log (cells/mL)",7.37291200297011
"298","Sch_BB22_02","Rahnella",4,22,"Log (cells/mL)",5.30102999566398
"299","Sch_BB22_02","Rahnella",4,304,"Log (cells/mL)",5.60205999132796
"300","Sch_BB22_02","Rahnella",4,594,"Log (cells/mL)",7.66651798055488
"303","Sch_BB22_02","Rahnella",4,1479,"Log (cells/mL)",7.58883172559421
"304","Sch_BB22_02","Rahnella",4,1794,"Log (cells/mL)",7.65321251377534
"305","Sch_BB22_02","Rahnella",4,2092,"Log (cells/mL)",8.77144048663991
"306","Sch_BB22_02","Rahnella",4,2421,"Log (cells/mL)",8.84060787900929
"307","Sch_BB22_02","Rahnella",4,2694,"Log (cells/mL)",8.66105508485338
"309","Sch_BB22_02","Rahnella",1,52,"Absorbance (600nm)",0.096
"310","Sch_BB22_02","Rahnella",1,333,"Absorbance (600nm)",0.095
"311","Sch_BB22_02","Rahnella",1,622,"Absorbance (600nm)",0.098
"312","Sch_BB22_02","Rahnella",1,921,"Absorbance (600nm)",0.144
"313","Sch_BB22_02","Rahnella",1,1258,"Absorbance (600nm)",0.155
"314","Sch_BB22_02","Rahnella",1,1507,"Absorbance (600nm)",0.171
"315","Sch_BB22_02","Rahnella",1,1827,"Absorbance (600nm)",0.178
"316","Sch_BB22_02","Rahnella",1,2120,"Absorbance (600nm)",0.181
"317","Sch_BB22_02","Rahnella",1,2449,"Absorbance (600nm)",0.196
"318","Sch_BB22_02","Rahnella",1,2722,"Absorbance (600nm)",0.183
"319","Sch_BB22_02","Rahnella",1,3034,"Absorbance (600nm)",0.177
"320","Sch_BB22_02","Rahnella",2,52,"Absorbance (600nm)",0.103
"321","Sch_BB22_02","Rahnella",2,333,"Absorbance (600nm)",0.095
"322","Sch_BB22_02","Rahnella",2,622,"Absorbance (600nm)",0.149
"323","Sch_BB22_02","Rahnella",2,921,"Absorbance (600nm)",0.191
"324","Sch_BB22_02","Rahnella",2,1258,"Absorbance (600nm)",0.201
"325","Sch_BB22_02","Rahnella",2,1507,"Absorbance (600nm)",0.209
"326","Sch_BB22_02","Rahnella",2,1827,"Absorbance (600nm)",0.222
"327","Sch_BB22_02","Rahnella",2,2120,"Absorbance (600nm)",0.221
"328","Sch_BB22_02","Rahnella",2,2449,"Absorbance (600nm)",0.229
"329","Sch_BB22_02","Rahnella",2,2722,"Absorbance (600nm)",0.239
"330","Sch_BB22_02","Rahnella",2,3034,"Absorbance (600nm)",0.243
"331","Sch_BB22_02","Rahnella",3,52,"Absorbance (600nm)",0.102
